Habitat,Sex,Standard length,Eye diameter,Head length,Head width,Predorsal length,Gape width
Surface,Male,25,2.3,6.6,5.1,8.0,2.0
Surface,Female,47,3.7,11.8,9.3,15.2,5.1
Surface,Female,51,4.3,12.5,9.5,16.9,5.5
Surface,Female,33,3.0,9.6,6.8,10.4,4.0
Surface,Female,35,2.9,9.6,6.7,11.6,3.2
Surface,Female,41,3.6,11.2,7.8,13.3,4.1
Surface,Female,25,2.2,7.2,5.4,8.6,2.6
Surface,Female,36,3.2,9.0,6.7,12.1,3.8
Surface,Female,34,2.9,8.9,6.6,11.6,3.5
Surface,Female,37,3.3,9.7,7.2,11.9,3.7
Surface,Female,34,3.0,8.8,7.1,10.6,4.0
Surface,Female,31,2.6,7.2,5.8,10.1,3.0
Surface,Female,39,3.3,9.4,8.0,12.8,4.7
Surface,Female,29,2.7,8.1,6.0,9.2,3.4
Surface,Female,32,3.1,8.9,6.6,11.0,4.0
Surface,Female,40,3.5,10.1,8.2,13.0,4.0
Surface,Female,27,2.6,8.0,5.4,9.2,3.2
Surface,Female,41,3.7,10.2,8.2,13.7,4.3
Surface,Female,34,3.1,9.4,6.6,11.6,3.6
Surface,Female,45,3.7,11.5,8.9,15.2,4.9
Surface,Female,31,3.0,9.0,6.5,10.7,3.4
Surface,Female,29,3.1,8.1,5.9,9.1,3.3
Surface,Female,36,2.9,9.1,6.7,11.4,4.1
Surface,Female,28,2.8,8.0,6.5,9.4,3.9
Surface,Female,31,2.7,8.4,6.2,10.4,3.5
Cave,Female,41,2.8,12.9,10.2,13.8,5.9
Cave,Female,35,2.3,11.1,8.6,11.4,5.3
Cave,Female,40,2.4,12.1,9.6,13.0,5.5
Cave,Female,31,2.4,9.5,7.1,10.2,4.4
Cave,Female,34,2.6,11.1,8.7,11.5,5.1
Cave,Female,29,2.4,8.7,7.0,9.5,4.4
Cave,Female,34,2.4,9.1,7.9,11.0,4.1
Cave,Female,29,2.5,10.0,7.2,9.1,4.4
Cave,Female,23,2.0,8.2,5.9,7.9,3.8
Cave,Female,28,2.4,8.7,7.5,9.5,3.8
Cave,Female,35,2.5,11.6,8.2,11.8,5.3
Cave,Female,28,2.1,8.4,7.0,8.9,3.8
Cave,Female,33,2.4,9.4,7.9,11.2,4.9
Cave,Male,26,2.2,8.9,6.2,8.6,4.0
Cave,Male,27,2.4,8.3,6.0,8.8,3.5
Cave,Male,25,2.0,7.4,5.3,8.6,3.3
Cave,Male,25,2.2,8.4,5.5,8.2,3.7
Cave,Male,23,1.8,7.0,5.8,7.1,2.8
Cave,Male,28,2.1,8.5,6.2,9.2,4.0
Cave,Male,26,2.0,7.7,5.5,8.7,3.2
Cave,Male,26,2.3,8.1,6.1,8.3,3.5
Cave,Male,25,1.9,7.2,5.7,8.4,3.4
Cave,Male,23,1.7,7.1,5.2,8.1,3.5
Cave,Female,27,2.3,9.3,6.7,8.8,4.2
Cave,Female,37,2.8,9.7,7.7,12.1,4.2
Cave,Female,53,2.8,11.6,9.4,17.9,5.2
Cave,Female,42,2.4,10.0,7.8,13.4,5.3
Cave,Female,39,2.5,9.5,7.0,12.5,3.7
Cave,Male,32,1.8,7.5,5.1,10.2,3.4
Cave,Male,31,1.6,7.3,5.2,9.8,2.4
Cave,Male,31,2.0,7.3,5.5,9.8,2.8
Cave,Male,30,1.9,7.7,5.1,9.6,2.8
Cave,Male,34,2.3,7.5,6.2,10.8,3.9
Cave,Male,30,1.8,7.4,5.2,10.2,3.1
Cave,Female,54,3.1,12.0,9.9,17.7,5.0
Cave,Female,43,2.8,10.7,8.3,14.4,5.7
Cave,Male,31,2.1,7.6,5.2,10.3,3.2
Cave,Male,34,2.6,8.7,6.4,10.7,3.9
Cave,Male,28,1.7,7.4,5.5,8.9,3.4
Cave,Female,35,2.5,11.3,7.8,11.3,4.2
Cave,Female,40,2.5,11.0,8.6,13.1,4.4
Cave,Female,40,2.2,11.5,9.0,13.8,4.1
Cave,Female,28,2.2,9.5,7.0,8.9,4.5
Cave,Female,37,2.5,11.5,8.1,11.6,5.1
Cave,Female,29,2.6,9.1,7.1,9.8,4.9
Cave,Female,30,2.1,9.4,6.7,9.7,3.7
Cave,Female,36,2.9,11.7,8.3,11.4,5.0
Cave,Female,26,2.2,8.6,6.2,8.4,4.2
Cave,Female,34,2.2,10.5,8.1,11.1,4.3
Cave,Female,32,2.7,10.6,8.9,10.7,5.2
Cave,Female,40,2.5,12.3,10.0,13.0,5.2
Cave,Female,26,2.3,9.4,6.8,8.7,4.0
Cave,Female,34,2.4,9.5,7.2,11.4,4.1
Cave,Female,32,2.7,9.4,7.2,10.3,4.3
Cave,Female,36,2.5,10.6,8.3,11.9,3.5
Cave,Female,29,1.8,8.9,7.4,9.6,4.5
Cave,Female,32,2.8,10.5,8.7,10.8,6.1
Cave,Female,35,2.1,10.7,8.2,11.8,3.8
Cave,Female,29,2.1,8.6,6.3,9.9,3.0
Cave,Female,22,1.5,7.4,5.9,7.6,3.3
Cave,Male,37,1.7,11.1,8.3,12.8,5.7
Cave,Male,31,2.5,8.8,6.4,10.8,3.7
Cave,Male,29,2.1,8.6,6.4,9.9,4.0
Cave,Male,32,2.4,9.3,6.4,10.7,3.8
Cave,Male,24,2.5,8.7,5.9,7.5,3.8
Cave,Male,22,2.0,6.7,5.7,7.3,3.4
Cave,Male,26,1.8,8.0,5.7,8.6,3.5
Cave,Male,22,1.6,6.8,5.0,7.8,3.3
Cave,Male,26,1.6,7.4,5.2,8.8,2.8
Cave,Male,25,2.0,9.0,6.0,8.5,3.7
Cave,Male,23,2.4,7.7,5.5,7.2,3.3
Cave,Male,23,1.9,7.9,5.5,7.8,3.4
Cave,Male,22,2.2,7.4,4.6,7.7,3.3
Cave,Male,26,2.1,8.7,6.2,8.2,4.3
Cave,Male,26,2.1,8.0,5.6,9.2,3.1
Cave,Male,24,2.3,7.5,5.0,7.7,3.8
Cave,Male,27,2.0,8.3,5.5,8.8,3.0
Cave,Female,33,1.2,8.3,5.7,11.3,2.6
Cave,Male,36,1.4,7.9,5.0,11.3,2.7
Cave,Female,51,2.8,11.4,8.4,16.8,4.2
Cave,Female,36,2.2,9.4,7.4,11.8,4.2
Cave,Female,43,2.5,9.4,7.4,13.9,3.7
Cave,Male,30,1.5,6.7,4.9,9.6,2.6
Cave,Female,64,2.9,13.3,10.6,21.7,6.5
Cave,Female,43,2.8,10.5,7.2,13.9,3.5
Cave,Female,42,2.1,9.6,6.9,13.5,3.7
Cave,Male,49,2.3,10.9,8.1,16.6,5.2
Cave,Male,35,1.6,8.0,5.7,11.5,2.6
Cave,Male,32,1.5,7.4,5.3,10.3,2.9
Cave,Male,39,1.9,7.8,5.5,13.2,3.5
Cave,Male,24,1.4,7.1,4.9,7.9,2.5
Cave,Male,31,1.5,10.3,7.3,9.8,5.0
Cave,Male,29,1.9,8.7,6.0,9.4,4.0
Cave,Male,26,1.8,8.4,5.8,8.6,3.4
Cave,Male,25,2.0,7.8,5.7,8.4,3.3
Cave,Male,35,1.7,11.4,7.9,11.5,5.2
Cave,Male,27,1.6,8.2,6.5,8.8,3.5
Cave,Male,25,2.1,8.2,5.5,8.0,3.2
Cave,Male,27,1.7,8.2,5.8,8.8,3.1
Cave,Male,25,1.5,8.5,5.3,8.4,3.0
Cave,Male,25,1.8,8.0,5.5,8.8,3.3
Cave,Male,33,2.1,10.2,7.5,10.9,5.1
Cave,Male,26,1.6,8.0,5.8,8.1,3.3
Cave,Male,29,1.4,9.3,6.7,9.1,4.5
Cave,Male,29,1.7,8.4,6.5,9.6,3.5
Cave,Female,41,2.7,12.2,9.4,13.8,5.1
Cave,Female,37,2.1,10.7,8.2,12.1,4.3
Cave,Female,38,2.6,11.9,8.6,12.3,5.2
Cave,Female,38,2.3,11.2,9.2,12.4,5.5
Cave,Female,27,1.7,8.3,6.1,8.8,3.3
Cave,Female,39,2.2,11.4,8.8,12.7,5.4
Cave,Female,33,2.3,10.7,8.0,10.5,4.6
Cave,Female,37,2.1,11.2,8.3,11.9,4.9
Cave,Female,35,2.4,10.6,8.9,11.7,5.3
Cave,Female,41,2.3,12.4,9.2,13.5,4.8
Cave,Female,32,2.4,9.5,7.5,10.6,3.6
Cave,Female,37,2.4,10.2,8.3,12.3,4.3
Cave,Female,33,1.8,9.6,7.8,10.3,7.1
Cave,Female,30,2.5,9.6,7.7,9.6,6.7
Cave,Female,38,1.7,11.1,9.9,12.7,7.3
Cave,Female,20,1.3,6.4,5.0,6.3,2.6
Cave,Female,27,1.9,8.5,6.8,9.1,3.0
Cave,Female,31,1.8,9.4,7.1,9.8,3.6
Cave,Female,22,1.4,7.0,5.1,7.7,2.4
Cave,Female,23,1.8,7.4,5.6,7.7,3.0
Surface,Female,43,3.0,11.0,8.4,14.6,4.8
Surface,Male,40,3.1,10.1,7.8,12.7,4.1
Surface,Female,36,2.8,9.1,7.1,11.6,3.4
Surface,Female,38,2.7,9.3,7.5,12.7,3.7
Surface,Female,37,2.8,9.8,7.6,12.2,3.7
Surface,Female,39,3.0,10.4,7.7,12.3,4.1
Surface,Male,30,2.8,9.3,7.1,10.2,4.2
Surface,Male,32,2.4,8.1,5.9,10.2,3.4
Surface,Male,31,2.4,7.4,5.4,10.0,2.7
Surface,Male,36,2.6,8.5,6.1,11.4,2.8
Surface,Female,47,3.1,10.7,8.5,15.1,4.8
Surface,Female,45,3.6,10.8,9.1,14.6,5.0
Surface,Female,35,2.9,8.9,7.1,11.5,3.8
Surface,Male,27,2.8,9.0,6.4,9.5,4.1
Surface,Male,22,2.3,7.1,5.2,7.2,3.4
Surface,Male,34,3.1,11.0,7.6,11.6,4.6
Surface,Male,23,2.4,7.4,5.2,7.7,2.9
Surface,Male,23,2.1,7.4,5.4,7.3,3.5
Surface,Male,26,2.8,8.3,6.6,8.6,3.4
Surface,Female,46,3.1,11.4,8.6,15.0,4.6
Surface,Male,27,2.6,8.7,6.2,9.3,3.8
Surface,Male,27,3.0,8.1,6.2,9.2,3.8
Surface,Male,22,2.3,7.1,5.4,7.3,2.9
Surface,Male,24,2.9,8.2,5.6,8.4,3.6
Surface,Male,24,2.7,7.8,5.6,7.7,3.5
Surface,Male,24,2.8,7.5,5.8,7.8,3.3
Surface,Female,39,3.4,11.5,9.7,13.1,5.2
Surface,Female,42,3.2,10.3,8.3,14.2,4.2
Surface,Female,30,3.2,9.2,8.0,9.7,4.9
Surface,Female,32,3.1,10.3,9.0,11.1,5.3
Surface,Female,25,2.8,8.2,6.6,8.7,3.7
Surface,Female,31,3.3,10.1,8.4,10.3,4.5
Surface,Female,29,2.9,9.8,7.6,9.1,4.4
Surface,Female,31,3.3,10.2,7.9,10.4,4.6
Surface,Female,39,3.6,13.3,10.0,12.5,5.2
Surface,Female,25,3.0,8.4,6.4,8.2,3.8
Surface,Male,44,3.3,10.8,7.6,14.1,3.9
Surface,Female,29,3.0,10.6,8.3,9.7,4.2
Surface,Female,35,3.3,11.3,8.9,11.2,4.8
Surface,Female,36,2.9,11.4,8.5,12.1,4.7
Surface,Female,28,3.1,9.5,7.6,9.0,3.9
Surface,Female,27,3.2,9.5,6.8,8.8,4.4
Surface,Female,32,3.3,10.8,8.4,10.8,4.7
Surface,Female,32,3.1,10.4,7.7,10.6,4.5
Surface,Male,39,3.1,9.6,6.9,12.5,3.9
Surface,Female,28,3.0,9.6,7.6,9.4,4.5
Surface,Female,23,2.5,8.3,6.3,8.2,3.7
Surface,Male,35,2.2,7.8,6.0,12.1,3.2
Surface,Male,29,2.5,8.8,6.5,9.5,3.2
Surface,Female,38,3.0,8.8,6.1,12.0,3.7
Surface,Male,28,2.4,6.9,4.7,9.2,2.9
Surface,Female,41,2.5,9.0,6.5,13.7,3.8
Surface,Female,35,2.7,8.7,6.4,11.4,3.1
Surface,Male,33,2.3,7.3,5.2,10.5,2.9
Surface,Male,34,2.7,7.5,4.9,11.4,3.2
Surface,Female,25,1.9,6.5,4.4,8.7,2.1
Surface,Male,32,2.6,7.7,5.5,10.8,2.9
Surface,Female,43,2.9,10.0,8.0,13.7,4.3
Surface,Female,42,3.8,12.1,9.0,14.1,5.8
Surface,Female,33,3.2,9.7,7.6,11.1,4.6
Surface,Female,29,3.0,9.6,6.7,9.8,4.3
Surface,Female,33,3.4,10.1,7.3,10.3,4.4
Surface,Female,30,3.3,10.7,7.5,9.9,4.2
Surface,Female,32,3.4,9.9,7.1,10.3,4.7
Surface,Female,30,3.0,9.0,6.9,10.0,3.8
Surface,Female,31,3.1,9.3,7.0,10.1,4.3
Surface,Female,28,2.8,8.7,6.3,9.4,3.7
Surface,Female,29,2.9,9.4,6.9,9.6,4.1
Surface,Female,29,3.2,9.6,7.4,9.6,4.3
Surface,Female,26,2.8,7.9,6.2,8.9,3.7
Surface,Female,25,2.2,6.9,4.8,8.0,2.2
Surface,Female,26,2.8,8.4,6.5,8.7,3.3
Surface,Female,27,2.9,8.9,6.0,8.8,3.8
Surface,Female,27,3.0,8.7,6.1,9.2,3.3
Surface,Male,31,3.0,9.5,6.9,10.7,4.1
Surface,Female,30,3.0,9.5,6.9,10.3,4.1
Surface,Female,26,2.7,8.6,6.1,8.9,3.8
Surface,Female,29,2.9,9.1,7.0,9.2,4.3
Surface,Male,31,3.0,9.7,6.7,10.2,4.6
Surface,Male,25,2.5,7.5,5.4,7.7,3.8
Surface,Male,26,2.6,8.4,5.6,8.9,3.5
Surface,Female,46,3.3,10.5,8.2,15.5,4.0
Surface,Male,28,2.8,8.1,5.8,9.8,3.7
Surface,Male,21,2.4,6.6,4.5,6.7,2.7
Surface,Male,24,2.5,8.0,5.1,7.7,3.5
Surface,Male,24,2.5,7.5,5.5,7.5,3.2
Surface,Male,24,2.4,7.4,5.4,7.8,3.1
Surface,Male,27,2.7,8.1,5.5,9.1,3.9
Surface,Male,24,2.4,7.3,5.4,8.1,3.1
Surface,Male,23,2.4,7.0,5.0,7.2,3.0
Surface,Male,25,2.5,8.0,5.3,8.6,3.4
Surface,Female,52,3.4,10.8,8.4,16.7,5.2
Surface,Male,26,2.7,8.0,5.6,8.6,3.7
Surface,Female,27,2.9,9.2,6.2,8.9,4.4
Surface,Female,28,3.0,9.7,6.7,8.9,3.7
Surface,Female,27,2.7,8.2,5.9,8.9,3.5
Surface,Female,27,2.8,7.7,6.5,9.4,3.4
Surface,Female,22,2.3,7.0,5.3,7.7,3.5
Surface,Female,24,2.4,7.9,5.7,8.3,3.6
Surface,Female,23,2.5,8.3,5.6,7.7,3.6
Surface,Female,22,2.3,7.2,4.8,7.1,3.5
Surface,Male,35,2.5,8.0,5.8,11.7,3.4